Method,l,Elapsed Time,RMSE
FRSVT,5,0.3831697106361389,41.490580289904386
FRSVT,10,0.8516415357589722,45.09052429374807
FRSVT,15,1.8230687975883484,48.64168646182453
FRSVT,20,3.4563913345336914,40.45374197884205
QISVT,5,0.3652237057685852,32.95847149835816
QISVT,10,0.7555907368659973,41.78539110932724
QISVT,15,1.6610094904899597,60.961193936060525
QISVT,20,3.0170013308525085,34.90023212506463
SVD,5,3.417741119861603,67.6572484250088
SVD,10,3.3261231184005737,67.6572484250088
SVD,15,3.307630240917206,67.6572484250088
SVD,20,4.469313979148865,67.6572484250088
